"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.6062e-05,0.12537,0.00022802,0.0061772,0.00021295,3.194e-05,6.2179e-05,-3.3223e-05,3.9986e-06,1.4516e-05,1,0.196,2,0.196,1
5.6678e-05,0.12531,0.00021114,0.0059931,0.00021119,3.1987e-05,6.185e-05,-3.3269e-05,3.9378e-06,1.4444e-05,1,0.198,2,0.198,1
5.7295e-05,0.12525,0.00019426,0.0058091,0.00020943,3.2034e-05,6.1521e-05,-3.3315e-05,3.8771e-06,1.4371e-05,1,0.2,2,0.2,1
5.7912e-05,0.12519,0.00017738,0.005625,0.00020768,3.2081e-05,6.1192e-05,-3.3361e-05,3.8163e-06,1.4299e-05,1,0.202,2,0.202,1
5.8529e-05,0.12513,0.0001605,0.005441,0.00020592,3.2128e-05,6.0863e-05,-3.3407e-05,3.7556e-06,1.4227e-05,1,0.204,2,0.204,1
5.9145e-05,0.12508,0.00014362,0.0052569,0.00020416,3.2175e-05,6.0534e-05,-3.3452e-05,3.6948e-06,1.4154e-05,1,0.206,2,0.206,1
5.9762e-05,0.12502,0.00012674,0.0050728,0.0002024,3.2222e-05,6.0205e-05,-3.3498e-05,3.6341e-06,1.4082e-05,1,0.208,2,0.208,1
6.0379e-05,0.12496,0.00010986,0.0048888,0.00020064,3.227e-05,5.9876e-05,-3.3544e-05,3.5733e-06,1.4009e-05,1,0.21,2,0.21,1
6.0547e-05,0.12483,8.0277e-05,0.0047391,0.00019928,3.2265e-05,5.9542e-05,-3.3551e-05,3.4953e-06,1.3923e-05,1,0.212,2,0.212,1
6.0702e-05,0.12469,5.0334e-05,0.0045903,0.00019793,3.2258e-05,5.9209e-05,-3.3557e-05,3.4167e-06,1.3837e-05,1,0.214,2,0.214,1
6.0858e-05,0.12456,2.0392e-05,0.0044416,0.00019659,3.2252e-05,5.8876e-05,-3.3562e-05,3.3382e-06,1.3751e-05,1,0.216,2,0.216,1
