"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00013167,0.12881,-8.5959e-05,-0.0095892,0.0003854,1.8889e-05,6.8729e-05,-3.6244e-05,3.2715e-07,-5.7652e-06,1,0.094,2,0.094,1.5
0.00013191,0.12914,-6.719e-05,-0.0095484,0.00037806,1.9436e-05,6.8827e-05,-3.6258e-05,2.2079e-07,-5.4924e-06,1,0.096,2,0.096,1.5
0.00013216,0.12946,-4.8421e-05,-0.0095077,0.00037072,1.9982e-05,6.8926e-05,-3.6272e-05,1.1444e-07,-5.2196e-06,1,0.098,2,0.098,1.5
0.00013241,0.12979,-2.9651e-05,-0.009467,0.00036338,2.0528e-05,6.9024e-05,-3.6286e-05,8.0809e-09,-4.9468e-06,1,0.1,2,0.1,1.5
0.00013264,0.13011,2.2458e-06,-0.0094085,0.00035625,2.1061e-05,6.9073e-05,-3.6293e-05,-1.0105e-07,-4.641e-06,1,0.102,2,0.102,1.5
0.00013283,0.13039,0.00011954,-0.0092346,0.00035043,2.1501e-05,6.8802e-05,-3.626e-05,-2.282e-07,-4.1209e-06,1,0.104,2,0.104,1.5
0.00013301,0.13068,0.00023684,-0.0090608,0.00034462,2.1941e-05,6.8532e-05,-3.6226e-05,-3.5535e-07,-3.6008e-06,1,0.106,2,0.106,1.5
0.0001332,0.13096,0.00035413,-0.008887,0.0003388,2.2381e-05,6.8261e-05,-3.6192e-05,-4.8251e-07,-3.0807e-06,1,0.108,2,0.108,1.5
0.00013338,0.13125,0.00047143,-0.0087131,0.00033299,2.2822e-05,6.799e-05,-3.6158e-05,-6.0966e-07,-2.5606e-06,1,0.11,2,0.11,1.5
0.00013348,0.13148,0.00056054,-0.0085755,0.00032746,2.3244e-05,6.7758e-05,-3.6109e-05,-7.1298e-07,-2.2155e-06,1,0.112,2,0.112,1.5
0.00013342,0.13162,0.00059533,-0.0085076,0.00032249,2.3633e-05,6.7602e-05,-3.603e-05,-7.7035e-07,-2.2077e-06,1,0.114,2,0.114,1.5
0.00013335,0.13176,0.00063013,-0.0084398,0.00031752,2.4022e-05,6.7446e-05,-3.5951e-05,-8.2772e-07,-2.1998e-06,1,0.116,2,0.116,1.5
0.00013329,0.1319,0.00066492,-0.0083719,0.00031256,2.441e-05,6.729e-05,-3.5872e-05,-8.8509e-07,-2.192e-06,1,0.118,2,0.118,1.5
0.00013322,0.13204,0.00069971,-0.008304,0.00030759,2.4799e-05,6.7134e-05,-3.5793e-05,-9.4247e-07,-2.1842e-06,1,0.12,2,0.12,1.5
0.00013315,0.13219,0.00073933,-0.0082355,0.00030266,2.5184e-05,6.6969e-05,-3.5708e-05,-1.0026e-06,-2.1753e-06,1,0.122,2,0.122,1.5
0.00013293,0.13246,0.00086587,-0.0081547,0.00029845,2.5492e-05,6.6655e-05,-3.5523e-05,-1.1122e-06,-2.1467e-06,1,0.124,2,0.124,1.5
0.00013271,0.13274,0.00099242,-0.0080739,0.00029423,2.58e-05,6.634e-05,-3.5337e-05,-1.2218e-06,-2.1182e-06,1,0.126,2,0.126,1.5
0.00013249,0.13301,0.001119,-0.0079931,0.00029002,2.6108e-05,6.6026e-05,-3.5152e-05,-1.3314e-06,-2.0896e-06,1,0.128,2,0.128,1.5
0.00013227,0.13328,0.0012455,-0.0079123,0.00028581,2.6416e-05,6.5711e-05,-3.4967e-05,-1.4411e-06,-2.061e-06,1,0.13,2,0.13,1.5
0.00013205,0.13356,0.001372,-0.0078315,0.00028159,2.6724e-05,6.5397e-05,-3.4781e-05,-1.5507e-06,-2.0325e-06,1,0.132,2,0.132,1.5
0.00013167,0.13364,0.0014185,-0.0077644,0.00027814,2.7006e-05,6.5062e-05,-3.4696e-05,-1.605e-06,-1.9252e-06,1,0.134,2,0.134,1.5
0.00013124,0.13367,0.0014401,-0.0077016,0.00027492,2.728e-05,6.4722e-05,-3.4642e-05,-1.6422e-06,-1.7935e-06,1,0.136,2,0.136,1.5
0.00013082,0.1337,0.0014617,-0.0076388,0.00027171,2.7554e-05,6.4381e-05,-3.4589e-05,-1.6794e-06,-1.6619e-06,1,0.138,2,0.138,1.5
0.00013039,0.13372,0.0014834,-0.007576,0.00026849,2.7828e-05,6.404e-05,-3.4535e-05,-1.7167e-06,-1.5302e-06,1,0.14,2,0.14,1.5
0.00012996,0.13375,0.001505,-0.0075132,0.00026527,2.8102e-05,6.37e-05,-3.4481e-05,-1.7539e-06,-1.3985e-06,1,0.142,2,0.142,1.5
0.00012954,0.13378,0.0015266,-0.0074504,0.00026205,2.8375e-05,6.3359e-05,-3.4428e-05,-1.7911e-06,-1.2669e-06,1,0.144,2,0.144,1.5
0.00012899,0.13403,0.0016339,-0.0074655,0.00025904,2.8589e-05,6.3028e-05,-3.4271e-05,-1.8014e-06,-1.5186e-06,1,0.146,2,0.146,1.5
0.00012843,0.13429,0.0017481,-0.007487,0.00025604,2.8797e-05,6.2697e-05,-3.4106e-05,-1.8095e-06,-1.8013e-06,1,0.148,2,0.148,1.5
0.00012788,0.13456,0.0018623,-0.0075084,0.00025304,2.9006e-05,6.2366e-05,-3.3942e-05,-1.8176e-06,-2.084e-06,1,0.15,2,0.15,1.5
