"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.1162e-05,0.12145,0.0029194,0.0078128,0.00036838,2.5309e-05,6.3942e-05,-4.2231e-05,-4.6704e-06,-1.1905e-05,1,0.12,2,0.12,0.5
8.0222e-05,0.12176,0.0030353,0.0076715,0.00036505,2.5687e-05,6.3923e-05,-4.2471e-05,-4.7487e-06,-1.2185e-05,1,0.122,2,0.122,0.5
7.8998e-05,0.1224,0.0030209,0.0072863,0.00036138,2.604e-05,6.3899e-05,-4.2704e-05,-4.827e-06,-1.2167e-05,1,0.124,2,0.124,0.5
7.7774e-05,0.12303,0.0030066,0.0069011,0.00035771,2.6394e-05,6.3876e-05,-4.2936e-05,-4.9053e-06,-1.2149e-05,1,0.126,2,0.126,0.5
7.655e-05,0.12367,0.0029922,0.0065159,0.00035404,2.6747e-05,6.3852e-05,-4.3168e-05,-4.9836e-06,-1.2132e-05,1,0.128,2,0.128,0.5
7.5325e-05,0.12431,0.0029779,0.0061307,0.00035037,2.7101e-05,6.3829e-05,-4.3401e-05,-5.062e-06,-1.2114e-05,1,0.13,2,0.13,0.5
7.4101e-05,0.12495,0.0029636,0.0057455,0.0003467,2.7454e-05,6.3806e-05,-4.3633e-05,-5.1403e-06,-1.2096e-05,1,0.132,2,0.132,0.5
7.3116e-05,0.12516,0.0030176,0.0054366,0.00034421,2.7734e-05,6.3739e-05,-4.3772e-05,-5.1797e-06,-1.2391e-05,1,0.134,2,0.134,0.5
7.2204e-05,0.12524,0.0030928,0.0051514,0.0003421,2.799e-05,6.3659e-05,-4.3883e-05,-5.207e-06,-1.2783e-05,1,0.136,2,0.136,0.5
7.1292e-05,0.12532,0.003168,0.0048661,0.00033998,2.8247e-05,6.3579e-05,-4.3993e-05,-5.2343e-06,-1.3175e-05,1,0.138,2,0.138,0.5
7.0381e-05,0.1254,0.0032432,0.0045809,0.00033786,2.8503e-05,6.3499e-05,-4.4104e-05,-5.2616e-06,-1.3568e-05,1,0.14,2,0.14,0.5
6.9469e-05,0.12548,0.0033184,0.0042956,0.00033575,2.8759e-05,6.3419e-05,-4.4214e-05,-5.2889e-06,-1.396e-05,1,0.142,2,0.142,0.5
6.8557e-05,0.12556,0.0033936,0.0040104,0.00033363,2.9016e-05,6.3339e-05,-4.4324e-05,-5.3163e-06,-1.4352e-05,1,0.144,2,0.144,0.5
6.804e-05,0.12571,0.0033865,0.0036614,0.00033086,2.9297e-05,6.3363e-05,-4.4472e-05,-5.3008e-06,-1.4391e-05,1,0.146,2,0.146,0.5
6.7555e-05,0.12586,0.0033727,0.0033072,0.00032804,2.9581e-05,6.3394e-05,-4.4623e-05,-5.282e-06,-1.4401e-05,1,0.148,2,0.148,0.5
6.707e-05,0.12602,0.003359,0.0029531,0.00032522,2.9864e-05,6.3425e-05,-4.4773e-05,-5.2631e-06,-1.4412e-05,1,0.15,2,0.15,0.5
6.6584e-05,0.12617,0.0033452,0.002599,0.0003224,3.0148e-05,6.3457e-05,-4.4924e-05,-5.2442e-06,-1.4422e-05,1,0.152,2,0.152,0.5
6.6099e-05,0.12632,0.0033315,0.0022448,0.00031958,3.0431e-05,6.3488e-05,-4.5074e-05,-5.2254e-06,-1.4432e-05,1,0.154,2,0.154,0.5
