"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00023551,0.12683,0.0026099,0.0086562,0.00033605,2.0859e-05,7.1004e-05,-3.215e-05,2.6538e-06,1.8973e-06,1,0.098,2,0.098,1.9
0.00023032,0.12727,0.0028216,0.0086697,0.00033054,2.1238e-05,7.0929e-05,-3.1996e-05,2.5731e-06,2.2746e-06,1,0.1,2,0.1,1.9
0.00022508,0.12765,0.0030135,0.0086967,0.00032508,2.1619e-05,7.0827e-05,-3.1828e-05,2.5051e-06,2.6437e-06,1,0.102,2,0.102,1.9
0.00021953,0.12765,0.0030762,0.0088109,0.00031991,2.2011e-05,7.0553e-05,-3.158e-05,2.5206e-06,2.9593e-06,1,0.104,2,0.104,1.9
0.00021397,0.12766,0.003139,0.0089252,0.00031473,2.2402e-05,7.0279e-05,-3.1332e-05,2.5361e-06,3.275e-06,1,0.106,2,0.106,1.9
0.00020841,0.12767,0.0032017,0.0090395,0.00030956,2.2794e-05,7.0006e-05,-3.1083e-05,2.5516e-06,3.5907e-06,1,0.108,2,0.108,1.9
0.00020285,0.12767,0.0032644,0.0091538,0.00030439,2.3186e-05,6.9732e-05,-3.0835e-05,2.5671e-06,3.9064e-06,1,0.11,2,0.11,1.9
0.00019717,0.12772,0.0033772,0.009181,0.00029951,2.3538e-05,6.9528e-05,-3.063e-05,2.549e-06,4.2583e-06,1,0.112,2,0.112,1.9
0.00019126,0.12784,0.0035863,0.0090407,0.00029521,2.3815e-05,6.9458e-05,-3.0508e-05,2.4661e-06,4.6801e-06,1,0.114,2,0.114,1.9
0.00018535,0.12796,0.0037954,0.0089003,0.00029091,2.4092e-05,6.9389e-05,-3.0387e-05,2.3831e-06,5.1019e-06,1,0.116,2,0.116,1.9
0.00017944,0.12808,0.0040046,0.00876,0.00028661,2.4369e-05,6.9319e-05,-3.0265e-05,2.3002e-06,5.5237e-06,1,0.118,2,0.118,1.9
0.00017353,0.12819,0.0042137,0.0086196,0.00028231,2.4645e-05,6.925e-05,-3.0144e-05,2.2172e-06,5.9455e-06,1,0.12,2,0.12,1.9
0.00016761,0.12828,0.0044156,0.0084886,0.00027804,2.4922e-05,6.9171e-05,-3.0018e-05,2.139e-06,6.3649e-06,1,0.122,2,0.122,1.9
0.00016148,0.12784,0.0044863,0.008525,0.0002743,2.5192e-05,6.8925e-05,-2.9825e-05,2.1451e-06,6.7416e-06,1,0.124,2,0.124,1.9
0.00015535,0.1274,0.004557,0.0085614,0.00027057,2.5463e-05,6.868e-05,-2.9633e-05,2.1512e-06,7.1183e-06,1,0.126,2,0.126,1.9
0.00014922,0.12696,0.0046278,0.0085979,0.00026684,2.5733e-05,6.8434e-05,-2.944e-05,2.1574e-06,7.4949e-06,1,0.128,2,0.128,1.9
0.00014309,0.12651,0.0046985,0.0086343,0.0002631,2.6003e-05,6.8188e-05,-2.9247e-05,2.1635e-06,7.8716e-06,1,0.13,2,0.13,1.9
0.00013696,0.12607,0.0047692,0.0086707,0.00025937,2.6274e-05,6.7943e-05,-2.9054e-05,2.1697e-06,8.2483e-06,1,0.132,2,0.132,1.9
0.00013203,0.1258,0.0049054,0.0084356,0.00025625,2.6463e-05,6.7671e-05,-2.8995e-05,2.1323e-06,8.4928e-06,1,0.134,2,0.134,1.9
0.00012747,0.12559,0.0050619,0.0081165,0.00025332,2.6627e-05,6.7391e-05,-2.8976e-05,2.0815e-06,8.6964e-06,1,0.136,2,0.136,1.9
0.00012291,0.12538,0.0052184,0.0077973,0.00025038,2.6792e-05,6.711e-05,-2.8958e-05,2.0307e-06,8.9e-06,1,0.138,2,0.138,1.9
0.00011835,0.12517,0.0053748,0.0074781,0.00024745,2.6956e-05,6.683e-05,-2.894e-05,1.9799e-06,9.1036e-06,1,0.14,2,0.14,1.9
0.00011379,0.12496,0.0055313,0.0071589,0.00024452,2.712e-05,6.655e-05,-2.8921e-05,1.9291e-06,9.3072e-06,1,0.142,2,0.142,1.9
0.00010922,0.12474,0.0056877,0.0068398,0.00024159,2.7284e-05,6.6269e-05,-2.8903e-05,1.8782e-06,9.5108e-06,1,0.144,2,0.144,1.9
0.00010446,0.12414,0.0058296,0.0067263,0.00023867,2.7433e-05,6.6049e-05,-2.8802e-05,1.8579e-06,9.6355e-06,1,0.146,2,0.146,1.9
9.9673e-05,0.1235,0.0059704,0.0066293,0.00023574,2.758e-05,6.5833e-05,-2.8695e-05,1.8401e-06,9.7538e-06,1,0.148,2,0.148,1.9
9.489e-05,0.12286,0.0061111,0.0065324,0.00023282,2.7727e-05,6.5617e-05,-2.8588e-05,1.8223e-06,9.8721e-06,1,0.15,2,0.15,1.9
9.0106e-05,0.12222,0.0062518,0.0064355,0.00022989,2.7874e-05,6.5402e-05,-2.848e-05,1.8044e-06,9.9905e-06,1,0.152,2,0.152,1.9
8.5322e-05,0.12158,0.0063926,0.0063386,0.00022697,2.8021e-05,6.5186e-05,-2.8373e-05,1.7866e-06,1.0109e-05,1,0.154,2,0.154,1.9
8.079e-05,0.12098,0.0065228,0.0062284,0.00022414,2.8159e-05,6.4949e-05,-2.8275e-05,1.7684e-06,1.0228e-05,1,0.156,2,0.156,1.9
7.888e-05,0.12085,0.0065427,0.0059796,0.00022226,2.821e-05,6.4494e-05,-2.8272e-05,1.7459e-06,1.036e-05,1,0.158,2,0.158,1.9
7.697e-05,0.12072,0.0065626,0.0057308,0.00022038,2.8262e-05,6.404e-05,-2.827e-05,1.7235e-06,1.0491e-05,1,0.16,2,0.16,1.9
7.506e-05,0.12058,0.0065825,0.0054821,0.00021851,2.8313e-05,6.3585e-05,-2.8267e-05,1.7011e-06,1.0622e-05,1,0.162,2,0.162,1.9
7.315e-05,0.12045,0.0066024,0.0052333,0.00021663,2.8364e-05,6.313e-05,-2.8264e-05,1.6786e-06,1.0754e-05,1,0.164,2,0.164,1.9
7.124e-05,0.12031,0.0066223,0.0049845,0.00021475,2.8415e-05,6.2675e-05,-2.8261e-05,1.6562e-06,1.0885e-05,1,0.166,2,0.166,1.9
6.933e-05,0.12018,0.0066422,0.0047358,0.00021288,2.8467e-05,6.222e-05,-2.8259e-05,1.6338e-06,1.1017e-05,1,0.168,2,0.168,1.9
6.6725e-05,0.11981,0.0067357,0.0045565,0.00021072,2.8524e-05,6.1839e-05,-2.8226e-05,1.6071e-06,1.0991e-05,1,0.17,2,0.17,1.9
6.3734e-05,0.11931,0.00687,0.0044157,0.0002084,2.8586e-05,6.15e-05,-2.8176e-05,1.5781e-06,1.0877e-05,1,0.172,2,0.172,1.9
6.0743e-05,0.11881,0.0070043,0.004275,0.00020609,2.8647e-05,6.116e-05,-2.8126e-05,1.549e-06,1.0764e-05,1,0.174,2,0.174,1.9
5.7752e-05,0.11831,0.0071386,0.0041342,0.00020378,2.8709e-05,6.082e-05,-2.8076e-05,1.52e-06,1.0651e-05,1,0.176,2,0.176,1.9
5.4761e-05,0.11781,0.0072729,0.0039935,0.00020146,2.877e-05,6.0481e-05,-2.8026e-05,1.491e-06,1.0538e-05,1,0.178,2,0.178,1.9
5.177e-05,0.11731,0.0074072,0.0038527,0.00019915,2.8831e-05,6.0141e-05,-2.7977e-05,1.462e-06,1.0424e-05,1,0.18,2,0.18,1.9
4.9245e-05,0.11691,0.0075033,0.0037404,0.00019696,2.8873e-05,5.9785e-05,-2.7909e-05,1.4371e-06,1.0357e-05,1,0.182,2,0.182,1.9
4.8594e-05,0.1169,0.0074457,0.0037425,0.00019524,2.8836e-05,5.9362e-05,-2.7769e-05,1.4287e-06,1.0474e-05,1,0.184,2,0.184,1.9
4.7943e-05,0.11688,0.007388,0.0037446,0.00019352,2.8799e-05,5.8939e-05,-2.7629e-05,1.4203e-06,1.0591e-05,1,0.186,2,0.186,1.9
4.7292e-05,0.11687,0.0073303,0.0037467,0.00019181,2.8762e-05,5.8516e-05,-2.7488e-05,1.4119e-06,1.0708e-05,1,0.188,2,0.188,1.9
4.6641e-05,0.11686,0.0072727,0.0037488,0.00019009,2.8725e-05,5.8093e-05,-2.7348e-05,1.4035e-06,1.0825e-05,1,0.19,2,0.19,1.9
4.599e-05,0.11685,0.007215,0.0037509,0.00018838,2.8688e-05,5.7671e-05,-2.7208e-05,1.3951e-06,1.0942e-05,1,0.192,2,0.192,1.9
4.5339e-05,0.11684,0.0071573,0.0037529,0.00018666,2.8651e-05,5.7248e-05,-2.7068e-05,1.3867e-06,1.1059e-05,1,0.194,2,0.194,1.9
