"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.7556e-05,0.112,-0.003438,0.006301,0.00025683,3.0554e-05,6.6165e-05,-3.5041e-05,2.5642e-06,1.5433e-05,1,0.15,2,0.15,0.1
-8.73e-05,0.11221,-0.0034348,0.0067313,0.00025311,3.0796e-05,6.5994e-05,-3.4773e-05,2.6464e-06,1.492e-05,1,0.152,2,0.152,0.1
-8.7043e-05,0.11242,-0.0034316,0.0071617,0.00024939,3.1037e-05,6.5822e-05,-3.4504e-05,2.7286e-06,1.4407e-05,1,0.154,2,0.154,0.1
-8.6859e-05,0.11264,-0.0034337,0.007555,0.00024586,3.1275e-05,6.5658e-05,-3.426e-05,2.8046e-06,1.3941e-05,1,0.156,2,0.156,0.1
-8.7433e-05,0.11306,-0.0034912,0.0075613,0.0002444,3.1474e-05,6.5575e-05,-3.4279e-05,2.8158e-06,1.3958e-05,1,0.158,2,0.158,0.1
-8.8007e-05,0.11348,-0.0035487,0.0075676,0.00024293,3.1673e-05,6.5491e-05,-3.4298e-05,2.8271e-06,1.3974e-05,1,0.16,2,0.16,0.1
-8.8581e-05,0.11389,-0.0036063,0.0075739,0.00024147,3.1872e-05,6.5408e-05,-3.4317e-05,2.8383e-06,1.3991e-05,1,0.162,2,0.162,0.1
-8.9154e-05,0.11431,-0.0036638,0.0075802,0.00024,3.2071e-05,6.5324e-05,-3.4336e-05,2.8495e-06,1.4008e-05,1,0.164,2,0.164,0.1
-8.9728e-05,0.11473,-0.0037213,0.0075865,0.00023853,3.227e-05,6.5241e-05,-3.4355e-05,2.8607e-06,1.4025e-05,1,0.166,2,0.166,0.1
-9.0302e-05,0.11514,-0.0037788,0.0075928,0.00023707,3.2468e-05,6.5158e-05,-3.4374e-05,2.8719e-06,1.4042e-05,1,0.168,2,0.168,0.1
-9.04e-05,0.11534,-0.00387,0.0077044,0.00023471,3.264e-05,6.4978e-05,-3.4209e-05,2.9096e-06,1.3902e-05,1,0.17,2,0.17,0.1
-9.0234e-05,0.1154,-0.0039798,0.0078745,0.00023187,3.2797e-05,6.4744e-05,-3.3941e-05,2.962e-06,1.3676e-05,1,0.172,2,0.172,0.1
-9.0068e-05,0.11547,-0.0040896,0.0080445,0.00022902,3.2954e-05,6.451e-05,-3.3673e-05,3.0143e-06,1.3449e-05,1,0.174,2,0.174,0.1
-8.9902e-05,0.11554,-0.0041994,0.0082146,0.00022617,3.3111e-05,6.4276e-05,-3.3406e-05,3.0667e-06,1.3223e-05,1,0.176,2,0.176,0.1
-8.9736e-05,0.11561,-0.0043091,0.0083846,0.00022332,3.3267e-05,6.4042e-05,-3.3138e-05,3.1191e-06,1.2996e-05,1,0.178,2,0.178,0.1
-8.957e-05,0.11568,-0.0044189,0.0085546,0.00022047,3.3424e-05,6.3808e-05,-3.287e-05,3.1715e-06,1.277e-05,1,0.18,2,0.18,0.1
-8.9513e-05,0.11585,-0.0045186,0.0087072,0.00021789,3.3586e-05,6.3584e-05,-3.2656e-05,3.2224e-06,1.2587e-05,1,0.182,2,0.182,0.1
-8.9899e-05,0.11642,-0.0045776,0.0087892,0.00021637,3.3769e-05,6.3396e-05,-3.2659e-05,3.2671e-06,1.2578e-05,1,0.184,2,0.184,0.1
-9.0285e-05,0.11698,-0.0046366,0.0088712,0.00021486,3.3952e-05,6.3208e-05,-3.2661e-05,3.3119e-06,1.2569e-05,1,0.186,2,0.186,0.1
-9.0671e-05,0.11755,-0.0046956,0.0089533,0.00021334,3.4135e-05,6.302e-05,-3.2664e-05,3.3566e-06,1.256e-05,1,0.188,2,0.188,0.1
-9.1057e-05,0.11811,-0.0047545,0.0090353,0.00021183,3.4317e-05,6.2832e-05,-3.2666e-05,3.4013e-06,1.2551e-05,1,0.19,2,0.19,0.1
-9.1442e-05,0.11868,-0.0048135,0.0091173,0.00021031,3.45e-05,6.2645e-05,-3.2669e-05,3.4461e-06,1.2542e-05,1,0.192,2,0.192,0.1
-9.1828e-05,0.11924,-0.0048725,0.0091994,0.0002088,3.4683e-05,6.2457e-05,-3.2671e-05,3.4908e-06,1.2533e-05,1,0.194,2,0.194,0.1
-9.2201e-05,0.11978,-0.0049311,0.009278,0.00020725,3.4859e-05,6.2276e-05,-3.2657e-05,3.5376e-06,1.2539e-05,1,0.196,2,0.196,0.1
-9.2435e-05,0.11999,-0.004986,0.0093209,0.00020542,3.4961e-05,6.2165e-05,-3.247e-05,3.6068e-06,1.2692e-05,1,0.198,2,0.198,0.1
-9.2668e-05,0.12019,-0.0050409,0.0093638,0.00020359,3.5064e-05,6.2055e-05,-3.2283e-05,3.6759e-06,1.2845e-05,1,0.2,2,0.2,0.1
-9.2901e-05,0.1204,-0.0050958,0.0094067,0.00020176,3.5167e-05,6.1944e-05,-3.2096e-05,3.7451e-06,1.2999e-05,1,0.202,2,0.202,0.1
-9.3135e-05,0.12061,-0.0051508,0.0094496,0.00019993,3.5269e-05,6.1833e-05,-3.1908e-05,3.8143e-06,1.3152e-05,1,0.204,2,0.204,0.1
-9.3368e-05,0.12082,-0.0052057,0.0094925,0.00019809,3.5372e-05,6.1723e-05,-3.1721e-05,3.8834e-06,1.3306e-05,1,0.206,2,0.206,0.1
-9.3602e-05,0.12103,-0.0052606,0.0095354,0.00019626,3.5475e-05,6.1612e-05,-3.1534e-05,3.9526e-06,1.3459e-05,1,0.208,2,0.208,0.1
-9.3835e-05,0.12124,-0.0053155,0.0095783,0.00019443,3.5577e-05,6.1502e-05,-3.1347e-05,4.0217e-06,1.3613e-05,1,0.21,2,0.21,0.1
-9.3646e-05,0.12175,-0.0054289,0.0096556,0.00019316,3.5689e-05,6.1471e-05,-3.1293e-05,4.02e-06,1.367e-05,1,0.212,2,0.212,0.1
-9.3446e-05,0.12226,-0.005544,0.009734,0.00019191,3.58e-05,6.1442e-05,-3.1243e-05,4.0162e-06,1.3725e-05,1,0.214,2,0.214,0.1
-9.3245e-05,0.12278,-0.005659,0.0098123,0.00019066,3.5912e-05,6.1414e-05,-3.1193e-05,4.0124e-06,1.378e-05,1,0.216,2,0.216,0.1
-9.3045e-05,0.12329,-0.0057741,0.0098906,0.00018941,3.6024e-05,6.1386e-05,-3.1142e-05,4.0086e-06,1.3835e-05,1,0.218,2,0.218,0.1
-9.2844e-05,0.12381,-0.0058892,0.009969,0.00018816,3.6135e-05,6.1357e-05,-3.1092e-05,4.0049e-06,1.389e-05,1,0.22,2,0.22,0.1
-9.2644e-05,0.12433,-0.0060043,0.010047,0.00018691,3.6247e-05,6.1329e-05,-3.1042e-05,4.0011e-06,1.3945e-05,1,0.222,2,0.222,0.1
-9.2443e-05,0.12484,-0.0061193,0.010126,0.00018566,3.6359e-05,6.13e-05,-3.0992e-05,3.9973e-06,1.4e-05,1,0.224,2,0.224,0.1
-9.2208e-05,0.12535,-0.0062278,0.01018,0.00018442,3.6462e-05,6.127e-05,-3.0937e-05,3.9974e-06,1.408e-05,1,0.226,2,0.226,0.1
-9.1717e-05,0.12582,-0.0062878,0.010057,0.00018329,3.65e-05,6.1231e-05,-3.085e-05,4.0255e-06,1.4342e-05,1,0.228,2,0.228,0.1
-9.1226e-05,0.12628,-0.0063479,0.0099344,0.00018215,3.6538e-05,6.1192e-05,-3.0762e-05,4.0537e-06,1.4604e-05,1,0.23,2,0.23,0.1
-9.0735e-05,0.12675,-0.0064079,0.0098117,0.00018101,3.6576e-05,6.1153e-05,-3.0674e-05,4.0818e-06,1.4865e-05,1,0.232,2,0.232,0.1
-9.0244e-05,0.12721,-0.006468,0.0096891,0.00017988,3.6614e-05,6.1114e-05,-3.0586e-05,4.1099e-06,1.5127e-05,1,0.234,2,0.234,0.1
-8.9753e-05,0.12768,-0.006528,0.0095664,0.00017874,3.6652e-05,6.1075e-05,-3.0499e-05,4.138e-06,1.5389e-05,1,0.236,2,0.236,0.1
-8.9261e-05,0.12814,-0.0065881,0.0094438,0.00017761,3.669e-05,6.1036e-05,-3.0411e-05,4.1662e-06,1.565e-05,1,0.238,2,0.238,0.1
-8.877e-05,0.12861,-0.0066481,0.0093211,0.00017647,3.6728e-05,6.0997e-05,-3.0323e-05,4.1943e-06,1.5912e-05,1,0.24,2,0.24,0.1
-8.8213e-05,0.12908,-0.0067301,0.009212,0.00017531,3.6772e-05,6.0954e-05,-3.023e-05,4.1927e-06,1.6119e-05,1,0.242,2,0.242,0.1
-8.7476e-05,0.12958,-0.0068717,0.0091395,0.00017408,3.6833e-05,6.0903e-05,-3.0121e-05,4.1104e-06,1.6176e-05,1,0.244,2,0.244,0.1
-8.6739e-05,0.13007,-0.0070133,0.0090671,0.00017286,3.6894e-05,6.0851e-05,-3.0013e-05,4.028e-06,1.6233e-05,1,0.246,2,0.246,0.1
-8.6003e-05,0.13056,-0.0071549,0.0089947,0.00017163,3.6955e-05,6.08e-05,-2.9905e-05,3.9457e-06,1.629e-05,1,0.248,2,0.248,0.1
-8.5266e-05,0.13106,-0.0072965,0.0089222,0.00017041,3.7016e-05,6.0748e-05,-2.9797e-05,3.8634e-06,1.6347e-05,1,0.25,2,0.25,0.1
-8.4529e-05,0.13155,-0.0074381,0.0088498,0.00016918,3.7078e-05,6.0697e-05,-2.9688e-05,3.7811e-06,1.6404e-05,1,0.252,2,0.252,0.1
-8.3792e-05,0.13204,-0.0075797,0.0087774,0.00016796,3.7139e-05,6.0646e-05,-2.958e-05,3.6987e-06,1.6462e-05,1,0.254,2,0.254,0.1
-8.3055e-05,0.13254,-0.0077212,0.0087049,0.00016673,3.72e-05,6.0594e-05,-2.9472e-05,3.6164e-06,1.6519e-05,1,0.256,2,0.256,0.1
-8.2318e-05,0.13303,-0.0078628,0.0086325,0.00016551,3.7261e-05,6.0543e-05,-2.9363e-05,3.5341e-06,1.6576e-05,1,0.258,2,0.258,0.1
-8.139e-05,0.13355,-0.0079864,0.0085472,0.0001644,3.7288e-05,6.0459e-05,-2.9311e-05,3.4725e-06,1.6635e-05,1,0.26,2,0.26,0.1
-8.0336e-05,0.13408,-0.0080981,0.0084534,0.00016337,3.7292e-05,6.0354e-05,-2.9295e-05,3.4247e-06,1.6696e-05,1,0.262,2,0.262,0.1
-7.9282e-05,0.13461,-0.0082098,0.0083595,0.00016234,3.7296e-05,6.0249e-05,-2.9279e-05,3.3769e-06,1.6757e-05,1,0.264,2,0.264,0.1
-7.8228e-05,0.13514,-0.0083215,0.0082657,0.0001613,3.73e-05,6.0144e-05,-2.9263e-05,3.3291e-06,1.6818e-05,1,0.266,2,0.266,0.1
-7.7174e-05,0.13567,-0.0084332,0.0081719,0.00016027,3.7304e-05,6.0039e-05,-2.9247e-05,3.2812e-06,1.6879e-05,1,0.268,2,0.268,0.1
-7.612e-05,0.1362,-0.0085449,0.0080781,0.00015924,3.7308e-05,5.9934e-05,-2.9232e-05,3.2334e-06,1.694e-05,1,0.27,2,0.27,0.1
-7.5066e-05,0.13673,-0.0086566,0.0079842,0.00015821,3.7312e-05,5.9829e-05,-2.9216e-05,3.1856e-06,1.7001e-05,1,0.272,2,0.272,0.1
-7.4012e-05,0.13726,-0.0087683,0.0078904,0.00015717,3.7315e-05,5.9724e-05,-2.92e-05,3.1377e-06,1.7062e-05,1,0.274,2,0.274,0.1
-7.2958e-05,0.13779,-0.00888,0.0077966,0.00015614,3.7319e-05,5.9619e-05,-2.9184e-05,3.0899e-06,1.7123e-05,1,0.276,2,0.276,0.1
-7.154e-05,0.13811,-0.0089113,0.0076205,0.00015499,3.7325e-05,5.9355e-05,-2.9119e-05,3.0546e-06,1.7017e-05,1,0.278,2,0.278,0.1
-7.0096e-05,0.13842,-0.0089372,0.0074387,0.00015384,3.7331e-05,5.9081e-05,-2.905e-05,3.0201e-06,1.6899e-05,1,0.28,2,0.28,0.1
-6.8653e-05,0.13873,-0.0089631,0.0072569,0.00015268,3.7336e-05,5.8806e-05,-2.8981e-05,2.9856e-06,1.678e-05,1,0.282,2,0.282,0.1
-6.721e-05,0.13904,-0.0089889,0.0070751,0.00015153,3.7342e-05,5.8531e-05,-2.8913e-05,2.9512e-06,1.6662e-05,1,0.284,2,0.284,0.1
-6.5766e-05,0.13935,-0.0090148,0.0068933,0.00015037,3.7347e-05,5.8257e-05,-2.8844e-05,2.9167e-06,1.6544e-05,1,0.286,2,0.286,0.1
-6.4323e-05,0.13966,-0.0090406,0.0067115,0.00014922,3.7353e-05,5.7982e-05,-2.8775e-05,2.8822e-06,1.6426e-05,1,0.288,2,0.288,0.1
-6.288e-05,0.13997,-0.0090665,0.0065297,0.00014806,3.7359e-05,5.7707e-05,-2.8707e-05,2.8477e-06,1.6307e-05,1,0.29,2,0.29,0.1
-6.1437e-05,0.14028,-0.0090923,0.006348,0.0001469,3.7364e-05,5.7433e-05,-2.8638e-05,2.8133e-06,1.6189e-05,1,0.292,2,0.292,0.1
-5.9993e-05,0.14059,-0.0091182,0.0061662,0.00014575,3.737e-05,5.7158e-05,-2.8569e-05,2.7788e-06,1.6071e-05,1,0.294,2,0.294,0.1
-5.8576e-05,0.14093,-0.0091731,0.0060336,0.00014471,3.7361e-05,5.6898e-05,-2.8514e-05,2.7376e-06,1.5923e-05,1,0.296,2,0.296,0.1
-5.7201e-05,0.14134,-0.0092778,0.0059849,0.00014388,3.7327e-05,5.6662e-05,-2.8483e-05,2.685e-06,1.5723e-05,1,0.298,2,0.298,0.1
